Platform Admin
Stories
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,4,1,2,6,2,1
2026-03-24,3,1,2,4,1,1
2026-03-25,7,1,2,3,1,0
2026-03-26,8,2,2,3,1,0
2026-03-27,9,2,1,4,1,0
2026-03-28,9,2,1,4,1,0
2026-03-29,9,2,1,4,1,0
2026-03-30,7,3,1,5,0,0
2026-03-31,7,1,2,6,1,0
2026-04-01,8,1,1,6,0,1
2026-04-02,7,2,1,4,2,0
2026-04-03,6,1,2,4,2,0
2026-04-04,6,1,2,4,2,0
2026-04-05,6,1,2,4,2,0
2026-04-06,5,2,1,5,1,0
2026-04-07,5,1,2,3,0,0
2026-04-08,7,1,1,5,0,0
2026-04-09,7,0,2,5,1,0
2026-04-10,7,0,1,5,3,0
2026-04-11,7,0,1,5,3,0
2026-04-12,7,0,1,5,3,0
2026-04-13,8,0,2,4,3,0
2026-04-14,9,0,1,3,3,0
2026-04-15,8,3,0,3,0,0
2026-04-16,5,3,0,3,1,0
2026-04-17,5,3,0,2,2,0
2026-04-18,5,3,0,2,2,0
2026-04-19,5,3,0,2,2,0
2026-04-20,4,1,0,3,1,1
2026-04-21,3,1,1,3,0,1
2026-04-22,3,1,1,3,0,1
Average WIP,6.32,1.39,1.16,3.94,1.35,0.19

Bugs
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,1,0,0,0,0,0
2026-03-24,1,0,0,0,0,0
2026-03-25,1,0,0,0,0,0
2026-03-26,1,0,0,0,0,0
2026-03-27,1,0,0,0,0,0
2026-03-28,1,0,0,0,0,0
2026-03-29,1,0,0,0,0,0
2026-03-30,1,0,0,0,0,0
2026-03-31,1,0,0,0,0,0
2026-04-01,1,0,0,0,0,0
2026-04-02,1,0,0,0,0,0
2026-04-03,1,0,0,0,0,0
2026-04-04,1,0,0,0,0,0
2026-04-05,1,0,0,0,0,0
2026-04-06,1,0,0,0,0,0
2026-04-07,1,0,0,0,0,0
2026-04-08,1,1,0,0,0,0
2026-04-09,1,0,0,1,0,0
2026-04-10,1,0,0,1,0,0
2026-04-11,1,0,0,1,0,0
2026-04-12,1,0,0,1,0,0
2026-04-13,1,0,0,1,0,0
2026-04-14,1,0,0,1,0,0
2026-04-15,1,0,0,0,0,0
2026-04-16,1,0,0,0,0,0
2026-04-17,1,0,0,0,0,0
2026-04-18,1,0,0,0,0,0
2026-04-19,1,0,0,0,0,0
2026-04-20,1,0,0,0,0,0
2026-04-21,1,0,0,0,0,0
2026-04-22,1,0,0,0,0,0
Average WIP,1.0,0.03,0.0,0.19,0.0,0.0

Story Bugs
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,1,0,0,1,0,0
2026-03-24,1,0,0,1,0,0
2026-03-25,1,0,0,1,0,0
2026-03-26,1,0,0,1,0,0
2026-03-27,1,0,0,1,0,0
2026-03-28,1,0,0,1,0,0
2026-03-29,1,0,0,1,0,0
2026-03-30,1,0,0,1,0,0
2026-03-31,1,0,0,1,0,0
2026-04-01,1,0,0,1,0,0
2026-04-02,1,0,0,1,0,0
2026-04-03,1,0,0,1,0,0
2026-04-04,1,0,0,1,0,0
2026-04-05,1,0,0,1,0,0
2026-04-06,1,0,0,1,0,0
2026-04-07,1,0,0,1,0,0
2026-04-08,1,0,0,1,0,0
2026-04-09,2,1,0,1,0,0
2026-04-10,2,1,0,1,0,0
2026-04-11,2,1,0,1,0,0
2026-04-12,2,1,0,1,0,0
2026-04-13,2,0,1,1,0,0
2026-04-14,2,0,1,1,0,0
2026-04-15,1,1,1,1,0,0
2026-04-16,1,0,2,1,0,0
2026-04-17,1,0,0,3,0,0
2026-04-18,1,0,0,3,0,0
2026-04-19,1,0,0,3,0,0
2026-04-20,1,0,0,1,0,0
2026-04-21,1,0,0,1,0,0
2026-04-22,1,0,0,1,0,0
Average WIP,1.19,0.16,0.16,1.19,0.0,0.0

Overall
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,6,1,2,7,2,1
2026-03-24,5,1,2,5,1,1
2026-03-25,9,1,2,4,1,0
2026-03-26,10,2,2,4,1,0
2026-03-27,11,2,1,5,1,0
2026-03-28,11,2,1,5,1,0
2026-03-29,11,2,1,5,1,0
2026-03-30,9,3,1,6,0,0
2026-03-31,9,1,2,7,1,0
2026-04-01,10,1,1,7,0,1
2026-04-02,9,2,1,5,2,0
2026-04-03,8,1,2,5,2,0
2026-04-04,8,1,2,5,2,0
2026-04-05,8,1,2,5,2,0
2026-04-06,7,2,1,6,1,0
2026-04-07,7,1,2,4,0,0
2026-04-08,9,2,1,6,0,0
2026-04-09,10,1,2,7,1,0
2026-04-10,10,1,1,7,3,0
2026-04-11,10,1,1,7,3,0
2026-04-12,10,1,1,7,3,0
2026-04-13,11,0,3,6,3,0
2026-04-14,12,0,2,5,3,0
2026-04-15,10,4,1,4,0,0
2026-04-16,7,3,2,4,1,0
2026-04-17,7,3,0,5,2,0
2026-04-18,7,3,0,5,2,0
2026-04-19,7,3,0,5,2,0
2026-04-20,6,1,0,4,1,1
2026-04-21,5,1,1,4,0,1
2026-04-22,5,1,1,4,0,1
Average WIP,8.52,1.58,1.32,5.32,1.35,0.19

