Platform Admin
Stories
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,2,0,1,3,2,0
2026-03-24,1,0,1,1,1,0
2026-03-25,4,0,1,0,1,0
2026-03-26,5,1,1,0,1,0
2026-03-27,6,1,0,1,1,0
2026-03-28,6,1,0,1,1,0
2026-03-29,6,1,0,1,1,0
2026-03-30,4,2,0,2,0,0
2026-03-31,4,0,1,3,1,0
2026-04-01,5,0,0,3,0,1
2026-04-02,4,1,0,1,2,0
2026-04-03,2,1,1,1,2,0
2026-04-04,2,1,1,1,2,0
2026-04-05,2,1,1,1,2,0
2026-04-06,1,2,0,2,1,0
2026-04-07,1,1,1,0,0,0
2026-04-08,2,1,0,2,0,0
2026-04-09,2,0,1,2,1,0
2026-04-10,2,0,0,2,3,0
2026-04-11,2,0,0,2,3,0
2026-04-12,2,0,0,2,3,0
2026-04-13,2,0,1,2,3,0
2026-04-14,3,0,0,2,3,0
2026-04-15,2,1,0,2,0,0
2026-04-16,0,0,0,2,1,0
2026-04-17,0,0,0,1,2,0
2026-04-18,0,0,0,1,2,0
2026-04-19,0,0,0,1,2,0
2026-04-20,1,0,0,0,1,0
2026-04-21,1,0,0,0,0,0
2026-04-22,0,0,0,0,0,0
Average WIP,2.39,0.48,0.35,1.35,1.35,0.03

Bugs
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,0,0,0,0,0,0
2026-03-24,0,0,0,0,0,0
2026-03-25,0,0,0,0,0,0
2026-03-26,0,0,0,0,0,0
2026-03-27,0,0,0,0,0,0
2026-03-28,0,0,0,0,0,0
2026-03-29,0,0,0,0,0,0
2026-03-30,0,0,0,0,0,0
2026-03-31,0,0,0,0,0,0
2026-04-01,0,0,0,0,0,0
2026-04-02,0,0,0,0,0,0
2026-04-03,0,0,0,0,0,0
2026-04-04,0,0,0,0,0,0
2026-04-05,0,0,0,0,0,0
2026-04-06,0,0,0,0,0,0
2026-04-07,0,0,0,0,0,0
2026-04-08,0,1,0,0,0,0
2026-04-09,0,0,0,1,0,0
2026-04-10,0,0,0,1,0,0
2026-04-11,0,0,0,1,0,0
2026-04-12,0,0,0,1,0,0
2026-04-13,0,0,0,1,0,0
2026-04-14,0,0,0,1,0,0
2026-04-15,0,0,0,0,0,0
2026-04-16,0,0,0,0,0,0
2026-04-17,0,0,0,0,0,0
2026-04-18,0,0,0,0,0,0
2026-04-19,0,0,0,0,0,0
2026-04-20,0,0,0,0,0,0
2026-04-21,0,0,0,0,0,0
2026-04-22,0,0,0,0,0,0
Average WIP,0.0,0.03,0.0,0.19,0.0,0.0

Story Bugs
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,0,0,0,0,0,0
2026-03-24,0,0,0,0,0,0
2026-03-25,0,0,0,0,0,0
2026-03-26,0,0,0,0,0,0
2026-03-27,0,0,0,0,0,0
2026-03-28,0,0,0,0,0,0
2026-03-29,0,0,0,0,0,0
2026-03-30,0,0,0,0,0,0
2026-03-31,0,0,0,0,0,0
2026-04-01,0,0,0,0,0,0
2026-04-02,0,0,0,0,0,0
2026-04-03,0,0,0,0,0,0
2026-04-04,0,0,0,0,0,0
2026-04-05,0,0,0,0,0,0
2026-04-06,0,0,0,0,0,0
2026-04-07,0,0,0,0,0,0
2026-04-08,0,0,0,0,0,0
2026-04-09,1,1,0,0,0,0
2026-04-10,1,1,0,0,0,0
2026-04-11,1,1,0,0,0,0
2026-04-12,1,1,0,0,0,0
2026-04-13,1,0,1,0,0,0
2026-04-14,1,0,1,0,0,0
2026-04-15,0,1,1,0,0,0
2026-04-16,0,0,2,0,0,0
2026-04-17,0,0,0,2,0,0
2026-04-18,0,0,0,2,0,0
2026-04-19,0,0,0,2,0,0
2026-04-20,0,0,0,0,0,0
2026-04-21,0,0,0,1,0,0
2026-04-22,0,0,0,0,0,0
Average WIP,0.19,0.16,0.16,0.23,0.0,0.0

Overall
Date,Development,Code Review,Checked In,QA,Product Acceptance,Blocked
2026-03-23,2,0,1,3,2,0
2026-03-24,1,0,1,1,1,0
2026-03-25,4,0,1,0,1,0
2026-03-26,5,1,1,0,1,0
2026-03-27,6,1,0,1,1,0
2026-03-28,6,1,0,1,1,0
2026-03-29,6,1,0,1,1,0
2026-03-30,4,2,0,2,0,0
2026-03-31,4,0,1,3,1,0
2026-04-01,5,0,0,3,0,1
2026-04-02,4,1,0,1,2,0
2026-04-03,2,1,1,1,2,0
2026-04-04,2,1,1,1,2,0
2026-04-05,2,1,1,1,2,0
2026-04-06,1,2,0,2,1,0
2026-04-07,1,1,1,0,0,0
2026-04-08,2,2,0,2,0,0
2026-04-09,3,1,1,3,1,0
2026-04-10,3,1,0,3,3,0
2026-04-11,3,1,0,3,3,0
2026-04-12,3,1,0,3,3,0
2026-04-13,3,0,2,3,3,0
2026-04-14,4,0,1,3,3,0
2026-04-15,2,2,1,2,0,0
2026-04-16,0,0,2,2,1,0
2026-04-17,0,0,0,3,2,0
2026-04-18,0,0,0,3,2,0
2026-04-19,0,0,0,3,2,0
2026-04-20,1,0,0,0,1,0
2026-04-21,1,0,0,1,0,0
2026-04-22,0,0,0,0,0,0
Average WIP,2.58,0.68,0.52,1.77,1.35,0.03

